date,open,high,low,close,volume
2025-03-09 11:00:00+00:00,84812,85069,84662,85003,64.30322978
2025-03-09 12:00:00+00:00,85000,85000,84247,84556,81.17427487
2025-03-09 13:00:00+00:00,84531,84664,83491,83491,91.76847934
2025-03-09 14:00:00+00:00,83503,83773,83011,83578,170.8314844
2025-03-09 15:00:00+00:00,83592,83713,82763,83059,73.31623158
2025-03-09 16:00:00+00:00,83038,83703,82312,82503,177.8849796
2025-03-09 17:00:00+00:00,82505,82933,82201,82311,113.6527743
2025-03-09 18:00:00+00:00,82357,83302,82254,82645,40.61866677
2025-03-09 19:00:00+00:00,82663,82974,82318,82628,38.2783287
2025-03-09 20:00:00+00:00,82615,83509,82615,83080,97.10336545
2025-03-09 21:00:00+00:00,83078,83083,81540,81788,221.2239558
2025-03-09 22:00:00+00:00,81829,82041,80190,80284,209.7206691
2025-03-09 23:00:00+00:00,80357,81005,80000,80708,142.7828372
2025-03-10 00:00:00+00:00,80728,81472,80077,81271,160.5524149
2025-03-10 01:00:00+00:00,81268,81858,80814,81721,61.93734987
2025-03-10 02:00:00+00:00,81777,82730,81522,82170,127.3772402
2025-03-10 03:00:00+00:00,82224,82318,81799,82028,9.02940168
2025-03-10 04:00:00+00:00,82031,82643,82012,82639,11.38116131
2025-03-10 05:00:00+00:00,82647,82764,82140,82287,17.68769351
2025-03-10 06:00:00+00:00,82333,82418,81983,82326,48.92450503
2025-03-10 07:00:00+00:00,82349,82684,82065,82317,73.18733506
2025-03-10 08:00:00+00:00,82326,82382,81180,81371,82.60504722
2025-03-10 09:00:00+00:00,81358,84007,81326,82488,280.5739534
2025-03-10 10:00:00+00:00,82510,82654,81639,82307,129.5928634
2025-03-10 11:00:00+00:00,82327,83773,82074,83483,118.110425
2025-03-10 12:00:00+00:00,83575,83752,82655,83267,184.4562378
2025-03-10 13:00:00+00:00,83236,83309,81419,81520,162.9982447
2025-03-10 14:00:00+00:00,81417,81445,79170,79807,334.5631416
2025-03-10 15:00:00+00:00,79887,81092,79547,80004,126.9031025
2025-03-10 16:00:00+00:00,80012,80192,78942,78969,136.2176361
2025-03-10 17:00:00+00:00,78987,79294,78167,78424,276.6524155
2025-03-10 18:00:00+00:00,78400,79111,77459,77600,121.3734976
